Rk,player,Pos,age,Team,g,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,ws,ws_per_48,OBPM,DBPM,BPM,VORP
12,Giannis Antetokounmpo,PF,26,MIL,53,1751,29.1,.633,.198,.547,5.4,29.2,17.8,29.1,1.7,3.4,14.0,32.6,5.8,3.1,8.9,.244,6.1,2.7,8.9,4.8
38,Bradley Beal,SG,27,WAS,55,1952,22.9,.594,.274,.331,3.5,10.5,7.0,22.0,1.5,0.8,10.9,34.3,3.9,1.5,5.5,.134,5.0,-1.6,3.3,2.6
58,Devin Booker,SG,24,PHO,59,1991,19.3,.587,.293,.290,1.6,12.2,6.9,21.3,1.2,0.7,12.7,32.8,2.4,2.0,4.4,.106,1.5,-1.2,0.3,1.1
115,Stephen Curry,PG,32,GSW,56,1905,26.1,.658,.580,.293,1.4,15.8,8.6,30.6,1.6,0.3,12.4,34.0,5.8,2.1,7.9,.199,8.0,0.0,8.1,4.9
129,Luka Dončić,PG,21,DAL,57,2004,26.0,.593,.400,.351,2.6,22.2,12.5,45.1,1.4,1.6,15.1,35.8,5.0,2.3,7.4,.176,6.6,0.8,7.4,4.8
161,De'Aaron Fox,PG,23,SAC,58,2036,20.8,.565,.288,.376,1.8,9.5,5.6,32.6,2.1,1.1,11.9,31.0,3.6,0.4,4.0,.093,2.9,-1.5,1.4,1.7
241,Kyrie Irving,PG,28,BRK,47,1653,24.2,.607,.338,.207,3.5,11.7,7.8,29.9,1.8,1.5,10.1,30.5,5.1,1.3,6.4,.185,5.5,-0.7,4.8,2.8
260,Nikola Jokić,C,25,DEN,64,2243,31.1,.648,.188,.285,9.3,26.1,17.7,40.4,2.0,1.8,13.4,29.2,10.9,3.1,14.0,.300,9.1,2.5,11.6,7.7
283,Zach LaVine,SG,25,CHI,53,1867,21.6,.633,.424,.268,1.9,14.1,8.1,24.2,1.1,1.3,14.4,31.2,3.6,1.6,5.2,.133,4.8,-1.0,3.8,2.7
290,Kawhi Leonard,SF,29,LAC,47,1612,26.8,.622,.274,.310,3.9,17.5,10.9,24.9,2.4,1.1,8.7,29.0,6.0,2.1,8.2,.243,5.9,1.0,6.9,3.6
294,Damian Lillard,PG,30,POR,58,2077,24.5,.606,.531,.359,1.4,11.5,6.3,34.5,1.3,0.6,11.7,31.7,7.5,0.6,8.1,.187,6.8,-1.8,5.0,3.7
344,Donovan Mitchell,PG,24,UTA,53,1771,21.3,.569,.423,.290,3.1,10.6,7.0,26.8,1.4,0.7,10.7,33.6,4.0,2.2,6.2,.167,4.1,-0.6,3.5,2.5
467,Jayson Tatum,SF,22,BOS,57,2045,21.3,.575,.365,.255,2.4,20.9,11.6,20.6,1.6,1.1,10.3,30.7,3.8,2.2,6.0,.140,4.2,-0.4,3.8,3.0
520,Zion Williamson,PF,20,NOP,59,1952,27.4,.652,.032,.512,8.9,14.7,11.8,19.7,1.3,1.8,11.4,29.8,7.2,1.4,8.6,.212,5.8,-0.4,5.4,3.7
530,Trae Young,PG,22,ATL,56,1913,22.9,.589,.361,.501,2.0,10.2,6.2,45.6,1.3,0.5,16.3,33.0,5.2,1.1,6.3,.158,5.5,-1.7,3.8,2.8
