Rk,player,Pos,age,Team,g,GS,mp_per_g,FG,FGA,fg_pct,3P,3PA,fg3_pct,2P,2PA,2P%,eFG%,FT,FTA,ft_pct,ORB,DRB,trb_per_g,ast_per_g,stl_per_g,blk_per_g,TOV,PF,pts_per_g
1,Stephen Curry,PG,32,GSW,56,56,34.0,10.2,21.0,.486,5.2,12.2,.426,5.0,8.8,.568,.609,5.6,6.2,.916,0.4,5.1,5.5,5.8,1.2,0.1,3.4,1.8,31.3
2,Bradley Beal,SG,27,WAS,55,55,35.5,11.0,22.8,.484,2.2,6.2,.347,8.9,16.6,.536,.531,6.8,7.5,.901,1.2,3.5,4.7,4.5,1.2,0.3,3.2,2.4,31.0
3,Luka Dončić,PG,21,DAL,57,57,35.2,10.2,20.9,.486,3.0,8.4,.356,7.2,12.5,.572,.557,5.3,7.3,.725,0.8,7.2,8.0,8.9,1.0,0.6,4.3,2.4,28.6
4,Damian Lillard,PG,30,POR,58,58,35.8,8.8,20.2,.435,4.1,10.7,.378,4.7,9.4,.500,.536,6.7,7.2,.926,0.5,3.7,4.2,7.5,0.9,0.3,3.1,1.6,28.3
5,Giannis Antetokounmpo,PF,26,MIL,53,53,33.0,10.1,17.8,.568,1.1,3.5,.305,9.0,14.3,.633,.598,6.7,9.7,.684,1.6,9.5,11.2,5.9,1.2,1.2,3.6,2.7,28.0
6,Zach LaVine,SG,25,CHI,53,53,35.2,9.8,19.4,.506,3.4,8.2,.416,6.4,11.2,.572,.594,4.4,5.2,.848,0.6,4.5,5.1,5.1,0.8,0.5,3.6,2.3,27.5
7,Zion Williamson,PF,20,NOP,59,59,33.1,10.4,16.9,.616,0.2,0.5,.313,10.2,16.3,.627,.621,6.0,8.6,.694,2.7,4.5,7.1,3.7,0.9,0.6,2.7,2.3,27.0
8,Kyrie Irving,PG,28,BRK,47,47,35.2,10.2,20.3,.502,2.6,6.9,.384,7.6,13.4,.562,.566,3.9,4.2,.924,1.0,3.9,4.9,6.3,1.3,0.6,2.5,2.6,26.9
9,Donovan Mitchell,PG,24,UTA,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4
10,Jayson Tatum,SF,22,BOS,57,57,35.9,9.5,20.7,.458,2.9,7.5,.388,6.5,13.1,.497,.528,4.6,5.3,.870,0.8,6.7,7.5,4.4,1.2,0.4,2.6,1.9,26.4
11,Nikola Jokić,C,25,DEN,64,64,35.0,10.2,18.0,.568,1.4,3.4,.412,8.8,14.6,.604,.606,4.4,5.1,.860,2.8,8.1,10.9,8.5,1.4,0.7,3.1,2.6,26.2
12,Devin Booker,SG,24,PHO,59,59,33.7,9.4,19.3,.487,1.9,5.6,.345,7.4,13.6,.545,.537,4.8,5.6,.857,0.5,3.7,4.2,4.4,0.8,0.3,3.2,2.8,25.5
13,Kawhi Leonard,SF,29,LAC,47,47,34.3,9.3,18.0,.517,2.0,4.9,.397,7.4,13.1,.562,.571,4.9,5.6,.878,1.1,5.5,6.6,5.1,1.6,0.4,2.0,1.6,25.5
14,Trae Young,PG,22,ATL,56,56,34.2,7.7,17.8,.434,2.3,6.4,.359,5.4,11.4,.476,.499,7.8,8.9,.878,0.6,3.2,3.9,9.4,0.9,0.2,4.2,1.8,25.5
15,De'Aaron Fox,PG,23,SAC,58,58,35.1,9.1,19.1,.477,1.8,5.5,.322,7.3,13.6,.539,.523,5.2,7.2,.719,0.6,2.9,3.5,7.2,1.5,0.5,3.0,2.9,25.2
